Identifier,languageCode,countryCode,site,CompetitorModelNumber,curbAdapter,phase,alliedMatchId,GEAModelNumber,associatedProductId
7ca1150ee0ed34a71e662a0b9d5c74f9,en,US,91b8f8a911bff655d08192b7e34f37d1,582JJ04,no Transition Curb needed,,,ZGD036S5,4
6af962206ac6b194c41cf23de70e1d0d,en,US,91b8f8a911bff655d08192b7e34f37d1,582JE04,no Transition Curb needed,,,ZGD036S5,4
a49ef533b4cb535a4998be940cbc02ee,en,US,91b8f8a911bff655d08192b7e34f37d1,ZS-12N,,,,ZGD150S5,4
b383cb7cead485b00255d8ba906df4cf,en,US,91b8f8a911bff655d08192b7e34f37d1,ZW-10S,,,,ZGD120S5,4
70b0dea53e537a8f6b62e72ac5182bd7,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCFD14,,,67,ZGD150S5,4
451283de6fb3ed2c4e2f0f50412ebe01,en,US,91b8f8a911bff655d08192b7e34f37d1,48TCFD12,no Transition Curb needed,,67,ZGD120S5,4
f2ba7edaf67eb52ca5cbcd0d068c5bbb,en,US,91b8f8a911bff655d08192b7e34f37d1,549BPX120,no Transition Curb needed,,74,ZHD120S5,4
b714ba0d3ec720a3ed659736a302cef0,en,US,91b8f8a911bff655d08192b7e34f37d1,WCD120C400BA,,,74,ZHD120S5,4
aa8838bb25fc8d054ca1b2c1a529c861,en,US,91b8f8a911bff655d08192b7e34f37d1,50HJQ012,no Transition Curb needed,,74,ZHD120S5,4
0b4a2ab6fe3c8c531b15d8d971ae08d7,en,US,91b8f8a911bff655d08192b7e34f37d1,50LJQ012,no Transition Curb needed,,74,ZHD120S5,4
179255e2d8a0af1965781ed4ee7f1953,en,US,91b8f8a911bff655d08192b7e34f37d1,50PQ012-5,,,74,ZHD120S5,4
19675b86945ad84cad22fcfa316ff850,en,US,91b8f8a911bff655d08192b7e34f37d1,50PQ012-1,,,74,ZHD120S5,4
2d0096d7084138e9552b6e72e9d418e1,en,US,91b8f8a911bff655d08192b7e34f37d1,50HCQA12,no Transition Curb needed,,74,ZHD120S5,4
4276010a5645fd0c1ac05cf3ed0248e9,en,US,91b8f8a911bff655d08192b7e34f37d1,50PQ012-6,,,74,ZHD120S5,4
f86ea1b5ca84b831376adb5041364f29,en,US,91b8f8a911bff655d08192b7e34f37d1,50HCQD12,no Transition Curb needed,,74,ZHD120S5,4
6d182d7f239acc531d7ad9cea77db55a,en,US,91b8f8a911bff655d08192b7e34f37d1,548BEX120,no Transition Curb needed,,74,ZHD120S5,4
6f837950ac972dafceb8cdd8fcfaf0f9,en,US,91b8f8a911bff655d08192b7e34f37d1,548BPX120,no Transition Curb needed,,74,ZHD120S5,4
76e9e6bb9034332160663462eb12b58d,en,US,91b8f8a911bff655d08192b7e34f37d1,50QJ012,no Transition Curb needed,,74,ZHD120S5,4
0ce7e07c33bd9561ce1a06e897ecfb55,en,US,91b8f8a911bff655d08192b7e34f37d1,50TJQ012,no Transition Curb needed,,74,ZHD120S5,4
32761459194c3c433f6b9ac664158065,en,US,91b8f8a911bff655d08192b7e34f37d1,50TFQ012,no Transition Curb needed,,74,ZHD120S5,4
386e1ca552855610cbff04fcf762520b,en,US,91b8f8a911bff655d08192b7e34f37d1,548BBX120,no Transition Curb needed,,74,ZHD120S5,4
ce1a6021826acc6e3ea62d00a206f379,en,US,91b8f8a911bff655d08192b7e34f37d1,50TCQD12,,,74,ZHD120S5,4
d0691caf65a202700ca5a5d4a8270244,en,US,91b8f8a911bff655d08192b7e34f37d1,50TCQA12,,,74,ZHD120S5,4
