site,title,curbAdapter,phase,alliedMatchId,alliedModelNumber,associatedProductId
91b8f8a911bff655d08192b7e34f37d1,ZXE09D,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09L,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE09R,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09N,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09E,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09L,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09R,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09S,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09M,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09F,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09D,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE09A,no Transition Curb needed,,58,ZCD102S5,4
91b8f8a911bff655d08192b7e34f37d1,ZYE08S,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF090C,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZF090C,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH090C2,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZXE08A,no Transition Curb needed,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZJ090C5,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH090C5,,,57,ZCD092S5,4
91b8f8a911bff655d08192b7e34f37d1,ZH090C4,,,57,ZCD092S5,4
